,Tempo (s) ,Vin (V) , Vout (V) - RC=1 ,Vout (V) - RC=0.1 , Vout (V) - RC=0.5 
84,4.2211055276381915,1.0,-0.16529509553054353,0.7808400866718938,-0.1318608695716506
85,4.2713567839195985,1.0,-0.10818451697012176,0.8674063600496651,-0.023635554285286117
86,4.3216080402010055,1.0,-0.05387289845006669,0.9197796990743325,0.07424156060567427
87,4.371859296482413,1.0,-0.002223069501187033,0.9514660252035769,0.16275997061486908
88,4.42211055276382,1.0,0.0468954272909144,0.9706365246083701,0.24281448981976508
89,4.472361809045227,1.0,0.0936066473696154,0.982234842917896,0.31521441860545474
90,4.522613065326634,1.0,0.13802857196075768,0.9892519261675777,0.38069167243369584
91,4.572864321608041,1.0,0.180273399339429,0.9934973221860991,0.43990817654676284
92,4.623115577889448,1.0,0.22044782291404075,0.996065822783734,0.4934625669754824
93,4.673366834170855,1.0,0.25865332180504896,0.9976197909408622,0.5418962423884527
94,4.723618090452262,1.0,0.29498639758780487,0.9985599542046338,0.5856988257257538
95,4.773869346733669,1.0,0.3295388011471649,0.9991287609983966,0.6253131302598766
96,4.824120603015076,1.0,0.3623978044661898,0.9994728932701408,0.6611396282936262
97,4.874371859296483,1.0,0.3936464015838065,0.9996810961261597,0.693540497164304
98,4.92462311557789,1.0,0.42336351756608465,0.9998070605814189,0.722843286201524
99,4.974874371859297,1.0,0.4516242112715422,0.9998832702896673,0.7493442253868668
100,5.025125628140704,-1.0,0.42887463532527387,0.5555753649516896,0.6752921316499912
101,5.075376884422111,-1.0,0.35884613273211424,-0.05886349299620926,0.5151054575258857
102,5.125628140703518,-1.0,0.29224969162962544,-0.43060430488671986,0.3702353767696964
103,5.175879396984925,-1.0,0.22891712708202155,-0.6555107017780596,0.2392173580758878
104,5.226130653266332,-1.0,0.16868845953571304,-0.7915810011029945,0.12072691192924861
105,5.276381909547739,-1.0,0.11141157258753485,-0.8739047036050133,0.013566186293230061
106,5.326633165829146,-1.0,0.05694179642179075,-0.9237112560476343,-0.08334813500281343
107,5.376884422110553,-1.0,0.005141559322159345,-0.9538446482028792,-0.17099578396911919
108,5.42713567839196,-1.0,-0.044119970109401205,-0.9720756126221337,-0.25026281553455293
109,5.477386934673367,-1.0,-0.09096721621991255,-0.983105503665567,-0.32195055484169555
110,5.527638190954774,-1.0,-0.13551849933012847,-0.9897786834361195,-0.3867837144548155
111,5.577889447236181,-1.0,-0.17788634091299413,-0.9938160149219145,-0.44541771206732395
112,5.628140703517588,-1.0,-0.21817775560934366,-0.9962586354769402,-0.49844529484374045
113,5.678391959798995,-1.0,-0.2564945179776402,-0.9977364414414398,-0.5464025309684404
114,5.728643216080402,-1.0,-0.2929333934478969,-0.9986305298449653,-0.589774232621273
115,5.778894472361809,-1.0,-0.3275864105895986,-0.999171459563294,-0.6289988553212077
116,5.8291457286432165,-1.0,-0.36054109933278927,-0.9994987262223981,-0.6644729308391123
117,5.8793969849246235,-1.0,-0.3918806909747111,-0.9996967252559543,-0.6965550760382759
118,5.9296482412060305,-1.0,-0.421684343958251,-0.9998165159712782,-0.7255696161893536
119,5.9798994974874375,-1.0,-0.4500273327018425,-0.9998889885343675,-0.751809868796536
120,6.030150753768845,1.0,-0.4175797294975283,-0.47933735388278714,-0.6585024171907937
121,6.080402010050252,1.0,-0.3481047840647153,0.10498810781201355,-0.49992112822063883
122,6.130653266331659,1.0,-0.28203476510871667,0.45851009798549114,-0.35650293418367585
123,6.180904522613066,1.0,-0.21920282949185038,0.6723939493327068,-0.22679797984765304
124,6.231155778894473,1.0,-0.15945026556119973,0.8017955236299082,-0.10949504463869392
125,6.28140703517588,1.0,-0.10262612958178458,0.8800845815289259,-0.0034082897946996343
126,6.331658291457287,1.0,-0.048586922647313464,0.9274501324219023,0.09253477540589235
127,6.381909547738694,1.0,0.002803845232337475,0.9561067035845122,0.17930402858312106
128,6.432160804020101,1.0,0.05167597592384094,0.9734441752684695,0.2577766473360832
129,6.482412060301508,1.0,0.09815290632038781,0.9839334958945757,0.3287459378314908
